sentence,page,keyword(s),Company,Label
We are making meaningful progress in creating a more sustainable business as we continue our path to net-zero by 2050.,5,['2050'],nrg,TRUE
"A comprehensive and multi-faceted approach to sustainability: Longstanding commitment to enhancing Environmental, Social, and Governance (ESG) transparency and disclosure Continued leadership on climate accompanied by engagement with a diverse set of stakeholders to advance common sustainability objectives Growing portfolio of sustainable energy products and services to help our customers meet their sustainability goals 2021 was another year of progress, made possible through collaboration and innovation.",6,['commitment'],nrg,FALSE
"This includes achieving our science-based greenhouse gas emissions reduction targets, increasing recycling rates of coal combustion residuals, and improving environmental performance across all facilities.",8,['target'],nrg,FALSE
"Our commitment includes a focus on safety, employee health, diversity, equity and inclusion (DE&I), employee engagement, and environmentally conscious workplaces.",8,['commitment'],nrg,FALSE
New target is a 50% reduction by 2025 from our current 2014 baseline and net-zero by 2050.,11,"['target', '2050']",nrg,TRUE
"We know they look to us to provide resources, education, and guidance and we remain steadfast in our commitment to them.",12,['commitment'],nrg,FALSE
The SLBs link attractive financing to the realization of previously announced goals to achieve a 50% reduction of absolute GHG emissions by 2025 from our current 2014 baseline and reach net-zero GHG emissions by 2050.,17,['2050'],nrg,TRUE
"As a complement to the sustainability-linked pricing metric included in the SLL in 2019, the issuance of the SLBs aligns our business and financing with our commitments and values by creating a direct link between climate and funding strategies.",17,['commitment'],nrg,FALSE
Many customers want renewable electricity to meet their sustainability commitments without having to take ownership of the physical energy.,22,['commitment'],nrg,FALSE
It was imperative that their energy strategy include these pillars and help meet their targets.,24,['target'],nrg,FALSE
Opportunities for veterans Our commitment to service members is deeply rooted in our military hiring initiatives.,32,['commitment'],nrg,FALSE
"Our goals NRG is targeting a 50% reduction in GHG emissions by 2025, from our current 2014 baseline, and net-zero emissions by 2050.",39,"['target', '2050']",nrg,TRUE
"To further strengthen our sustainability commitments, in 2021 NRG added a new sustainability goal to achieve 100% electrification of our light-duty vehicle fleet by 2030.",39,['commitment'],nrg,FALSE
We are continuing to target a 50% reduction by 2025 and are on track to meet that goal.,39,['target'],nrg,FALSE
"Site-specific EKPI performance impacts the compensation of all employees at that site, fostering collective accountability and environmental commitment within the workforce.",40,['commitment'],nrg,FALSE
We have demonstrated our commitment by reducing our impact on the environment in several areas.,41,['commitment'],nrg,FALSE
Our core values provide the basis for our business decisions and drive our commitment to diversity within our supply chain.,44,['commitment'],nrg,FALSE
Read our CEO supplier diversity commitment letter on our website.,44,['commitment'],nrg,FALSE
"These statements involve estimates, expectations, projections, goals, assumptions, known and unknown risks and uncertainties and can typically be identified by terminology such as may, should, could, objective, projection, forecast, goal, guidance, outlook, expect, intend, seek, plan, think, anticipate, estimate, predict, target, potential or continue or the negative of these terms or other comparable terminology.",47,['target'],nrg,FALSE
